GAME_DATE_EST,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,PTS
2014-12-16,21400365,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,38:57:00,9,25,0.36,1,10,0.1,19
2014-12-14,21400348,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,39:55:00,11,21,0.524,6,10,0.6,34
2014-12-13,21400340,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,37:11:00,9,22,0.409,3,11,0.273,29
2014-12-10,21400324,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,37:27:00,8,15,0.533,3,5,0.6,20
2014-12-08,21400305,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,31:20:00,10,20,0.5,1,7,0.143,21
2014-12-06,21400289,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,36:11:00,5,14,0.357,1,5,0.2,19
2014-12-04,21400275,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,30:37:00,8,17,0.471,3,6,0.5,19
2014-12-02,21400262,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,36:27:00,8,17,0.471,3,9,0.333,22
2014-11-30,21400243,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,28:22:00,5,9,0.556,1,3,0.333,16
2014-11-28,21400224,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,32:20:00,9,20,0.45,1,10,0.1,26
2014-11-26,21400212,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,23:38,9,13,0.692,6,8,0.75,28
2014-11-25,21400206,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,37:05:00,12,19,0.632,8,11,0.727,40
2014-11-23,21400196,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,38:07:00,5,15,0.333,2,6,0.333,15
2014-11-21,21400182,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,24:30:00,3,9,0.333,2,6,0.333,8
2014-11-16,21400145,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,29:56:00,10,19,0.526,5,9,0.556,30
2014-11-15,21400140,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,28:18:00,8,15,0.533,3,6,0.5,19
2014-11-13,21400121,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,31:56:00,6,12,0.5,3,7,0.429,17
2014-11-11,21400108,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,35:46:00,7,18,0.389,0,7,0,16
2014-11-09,21400095,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,34:04:00,10,20,0.5,4,10,0.4,28
2014-11-08,21400087,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,39:58:00,13,19,0.684,6,9,0.667,34
2014-11-05,21400068,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,33:49:00,9,18,0.5,4,8,0.5,28
