name,full_male,full_female,full_percent,full_diff,associate_male,associate_female,associate_percent,associate_diff,assistant_male,assistant_female,assistant_percent,assistant_diff,male,female,color
Brown University,173925,160920,0.925226391,13005,112374,112284,0.999199103,90,94905,87993,0.927169275,6912,0.66,0.34,red
Columbia University,214380,194148,0.905625525,20232,142713,131526,0.921611906,11187,111366,108126,0.97090674,3240,0.7,0.3,red
Cornell University,169407,160101,0.945067205,9306,119160,116604,0.978549849,2556,111285,105057,0.944035584,6228,0.68,0.32,red
Dartmouth College,183267,154431,0.842655797,28836,111591,104949,0.940479071,6642,80568,74322,0.922475425,6246,0.682,0.318,red
Harvard University,234891,216963,0.923675237,17928,134856,136269,1.010477843,-1413,134163,119502,0.890722479,14661,0.66,0.34,red
University of Pennsylvania,205659,190053,0.924117107,15606,140922,118458,0.840592668,22464,130221,113598,0.872347778,16623,0.673,0.327,red
Princeton University,205137,184392,0.898872461,20745,126333,121617,0.962670086,4716,99828,90810,0.909664623,9018,0.76,0.24,red
Yale University,201294,190044,0.944111598,11250,120618,110295,0.914415759,10323,102096,96183,0.942083921,5913,0.71,0.29,red
